game id*,balls*,strikes*,visiting team*,batting team*,res batter*,res batter hand*,res pitcher*,res pitcher hand*
BOS202107010,2,2,KCA,0,ohear001,L,eovan001,R
BOS202107010,3,2,KCA,1,renfh001,R,bubik001,L
BOS202107010,1,2,KCA,1,santd001,R,bubik001,L
BOS202107010,2,2,KCA,1,wongc001,R,bubik001,L
BOS202107010,0,2,KCA,0,ohear001,L,eovan001,R
BOS202107010,1,2,KCA,0,rives002,R,eovan001,R
BOS202107010,0,2,KCA,1,wongc001,R,sante001,R
BOS202107010,2,2,KCA,0,santc002,L,eovan001,R
BOS202107010,1,2,KCA,0,peres002,R,eovan001,R
BOS202107010,1,2,KCA,1,renfh001,R,stauj001,R
BOS202107010,1,2,KCA,0,rives002,R,eovan001,R
BOS202107010,2,2,KCA,1,santd001,L,barls001,R
BOS202107010,2,2,KCA,1,verda001,L,barls001,R
BOS202107010,2,2,KCA,1,martj006,R,swara001,R
BOS202107010,3,2,KCA,1,wongc001,R,swara001,R
BOS202107010,1,2,KCA,0,peres002,R,andrm001,R
BOS202107010,3,2,KCA,0,rives002,R,andrm001,R
BOS202107090,0,2,PHI,0,mccua001,R,richg002,R
BOS202107090,2,2,PHI,0,millb002,L,richg002,R
BOS202107090,0,2,PHI,1,bogax001,R,velav001,R
BOS202107090,3,2,PHI,0,realj001,R,richg002,R
BOS202107090,3,2,PHI,1,bogax001,R,velav001,R
BOS202107090,1,2,PHI,0,millb002,L,richg002,R
BOS202107090,0,2,PHI,1,bogax001,R,deloe001,R
BOS202107090,1,2,PHI,1,dever001,L,deloe001,R
BOS202107090,1,2,PHI,1,martj006,R,kintb001,R
BOS202107090,1,2,PHI,0,gregd001,L,riosy001,R
BOS202107090,2,2,PHI,1,arroc001,R,kintb001,R
BOS202107090,1,2,PHI,0,mccua001,R,andrm001,R
BOS202107090,2,2,PHI,1,herne001,R,alvaj004,L
BOS202107090,1,2,PHI,1,renfh001,R,alvaj004,L
BOS202107090,2,2,PHI,0,willl001,R,hernd004,L
BOS202107090,1,2,PHI,0,hoskr001,R,hernd004,L
BOS202107090,2,2,PHI,0,bohma001,R,workb001,R
BOS202107090,0,2,PHI,0,jankt001,L,workb001,R
BOS202107100,2,2,PHI,0,knapa001,R,perem004,L
BOS202107100,1,2,PHI,0,seguj002,R,perem004,L
BOS202107100,0,2,PHI,0,harpb003,L,perem004,L
BOS202107100,2,2,PHI,0,bohma001,R,perem004,L
BOS202107100,2,2,PHI,1,dalbb001,R,moorm003,L
BOS202107100,1,2,PHI,1,bogax001,R,faltb001,L
BOS202107100,3,2,PHI,1,renfh001,R,faltb001,L
BOS202107100,0,2,PHI,0,realj001,R,whitg002,R
BOS202107100,1,2,PHI,1,dalbb001,R,faltb001,L
BOS202107100,0,2,PHI,0,realj001,R,brica001,R
BOS202107100,1,2,PHI,1,chavm001,R,hammj003,R
BOS202107100,0,2,PHI,1,dever001,L,hammj003,R
BOS202107100,2,2,PHI,0,willl001,R,brica001,R
BOS202107100,3,2,PHI,0,torrr001,R,brica001,R
BOS202107100,2,2,PHI,1,dalbb001,R,brogc001,R
BOS202107110,1,2,PHI,0,mccua001,R,piven001,R
BOS202107110,2,2,PHI,0,hoskr001,R,piven001,R
BOS202107110,1,2,PHI,1,martj006,R,sancc002,L
BOS202107110,2,2,PHI,0,mccua001,R,piven001,R
BOS202107110,3,2,PHI,0,gregd001,L,piven001,R
BOS202107110,2,2,PHI,1,bogax001,R,sancc002,L
BOS202107110,2,2,PHI,0,harpb003,L,riosy001,R
BOS202107110,0,2,PHI,0,millb002,L,hernd004,L
BOS202107110,0,2,PHI,1,dever001,L,alvaj004,L
BOS202107110,1,2,PHI,0,realj001,R,sawah001,R
BOS202107110,2,2,PHI,0,hoskr001,R,ottaa001,R
BOS202107110,1,2,PHI,1,vazqc001,R,suarr001,L
BOS202107110,3,2,PHI,1,dalbb001,R,suarr001,L
BOS202107110,3,2,PHI,1,martj006,R,suarr001,L
BOS202107110,2,2,PHI,1,bogax001,R,suarr001,L
BOS202107220,1,2,NYA,0,gardb001,L,houct001,R
BOS202107220,2,2,NYA,1,bogax001,R,montj004,L
BOS202107220,3,2,NYA,0,torrg001,R,houct001,R
BOS202107220,0,2,NYA,0,branr002,L,houct001,R
BOS202107220,0,2,NYA,0,alleg002,L,houct001,R
BOS202107220,0,2,NYA,1,martj006,R,montj004,L
BOS202107220,3,2,NYA,0,wadet002,L,houct001,R
BOS202107220,1,2,NYA,0,lemad001,R,houct001,R
BOS202107220,1,2,NYA,1,herne001,R,montj004,L
BOS202107220,1,2,NYA,0,odorr001,L,houct001,R
BOS202107220,1,2,NYA,1,renfh001,R,montj004,L
BOS202107220,2,2,NYA,0,alleg002,L,houct001,R
BOS202107220,2,2,NYA,1,dalbb001,R,montj004,L
BOS202107220,1,2,NYA,1,chavm001,R,montj004,L
BOS202107220,1,2,NYA,0,odorr001,L,taylj001,L
BOS202107220,1,2,NYA,0,branr002,L,taylj001,L
BOS202107220,1,2,NYA,0,flore001,L,hernd004,L
BOS202107220,1,2,NYA,0,wadet002,L,hernd004,L
BOS202107220,2,2,NYA,0,branr002,L,ottaa001,R
BOS202107220,0,2,NYA,1,vazqc001,R,greec003,R
BOS202107220,1,2,NYA,0,stanm004,R,barnm001,R
BOS202107220,3,2,NYA,1,martj006,R,krisb001,R
BOS202107230,0,2,NYA,0,stanm004,R,rodre004,L
BOS202107230,2,2,NYA,1,duraj001,L,coleg001,R
BOS202107230,3,2,NYA,1,dever001,L,coleg001,R
BOS202107230,0,2,NYA,0,gittc001,R,valdp002,R
BOS202107230,2,2,NYA,0,alleg002,L,valdp002,R
BOS202107230,1,2,NYA,0,lemad001,R,valdp002,R
BOS202107230,0,2,NYA,1,martj006,R,coleg001,R
BOS202107230,1,2,NYA,1,verda001,L,coleg001,R
BOS202107230,2,2,NYA,0,sancg002,R,valdp002,R
BOS202107230,3,2,NYA,1,bogax001,R,coleg001,R
BOS202107230,3,2,NYA,1,dever001,L,coleg001,R
BOS202107230,3,2,NYA,0,torrg001,R,valdp002,R
BOS202107230,3,2,NYA,0,gardb001,L,valdp002,R
BOS202107230,3,2,NYA,0,lamar001,R,valdp002,R
BOS202107230,1,2,NYA,1,vazqc001,R,coleg001,R
BOS202107230,0,2,NYA,0,alleg002,L,riosy001,R
BOS202107230,3,2,NYA,1,dalbb001,R,coleg001,R
BOS202107230,1,2,NYA,1,renfh001,R,cortn001,L
BOS202107230,2,2,NYA,0,flore001,L,whitg002,R
BOS202107230,3,2,NYA,1,dalbb001,R,cortn001,L
BOS202107230,3,2,NYA,1,bogax001,R,cortn001,L
BOS202107230,1,2,NYA,0,gardb001,L,hernd004,L
BOS202107230,1,2,NYA,0,flore001,L,hernd004,L
BOS202107230,1,2,NYA,1,renfh001,R,wilsj004,L
BOS202107240,1,2,NYA,0,stanm004,R,eovan001,R
BOS202107240,0,2,NYA,0,odorr001,L,eovan001,R
BOS202107240,1,2,NYA,1,bogax001,R,tailj001,R
BOS202107240,0,2,NYA,0,torrg001,R,eovan001,R
BOS202107240,0,2,NYA,0,alleg002,L,eovan001,R
BOS202107240,1,2,NYA,1,chavm001,R,tailj001,R
BOS202107240,0,2,NYA,0,gardb001,L,eovan001,R
BOS202107240,0,2,NYA,0,stanm004,R,eovan001,R
BOS202107240,2,2,NYA,0,torrg001,R,eovan001,R
BOS202107240,1,2,NYA,1,chavm001,R,tailj001,R
BOS202107240,1,2,NYA,0,gardb001,L,eovan001,R
BOS202107240,1,2,NYA,1,plawk001,R,tailj001,R
BOS202107240,2,2,NYA,1,plawk001,R,chapa001,L
BOS202107240,2,2,NYA,1,herne001,R,chapa001,L
BOS202107250,1,2,NYA,0,stanm004,R,perem004,L
BOS202107250,0,2,NYA,0,odorr001,L,perem004,L
BOS202107250,2,2,NYA,1,duraj001,L,germd001,R
BOS202107250,2,2,NYA,0,torrg001,R,perem004,L
BOS202107250,1,2,NYA,1,verda001,L,germd001,R
BOS202107250,2,2,NYA,0,lamar001,R,perem004,L
BOS202107250,2,2,NYA,0,lemad001,R,perem004,L
BOS202107250,0,2,NYA,0,sancg002,R,perem004,L
BOS202107250,1,2,NYA,1,cordf003,L,germd001,R
BOS202107250,0,2,NYA,1,duraj001,L,germd001,R
BOS202107250,0,2,NYA,1,dever001,L,germd001,R
BOS202107250,2,2,NYA,1,cordf003,L,germd001,R
BOS202107250,1,2,NYA,0,stanm004,R,taylj001,L
BOS202107250,0,2,NYA,1,dever001,L,germd001,R
BOS202107250,1,2,NYA,1,martj006,R,germd001,R
BOS202107260,0,2,TOR,1,duraj001,L,hatct001,R
BOS202107260,3,2,TOR,1,dever001,L,hatct001,R
BOS202107260,1,2,TOR,0,hernt002,R,piven001,R
BOS202107260,1,2,TOR,1,herne001,R,hatct001,R
BOS202107260,0,2,TOR,0,bichb001,R,piven001,R
BOS202107260,2,2,TOR,0,mcgur002,L,piven001,R
BOS202107260,1,2,TOR,1,herne001,R,hatct001,R
BOS202107260,0,2,TOR,0,hernt002,R,valdp002,R
BOS202107260,3,2,TOR,1,martj006,R,sauct001,L
BOS202107260,2,2,TOR,0,biggc002,L,valdp002,R
BOS202107260,1,2,TOR,1,dever001,L,richt001,R
BOS202107260,0,2,TOR,1,cordf003,L,romaj004,R
BOS202107281,3,2,TOR,0,hernt002,R,richg002,R
BOS202107281,0,2,TOR,1,chavm001,R,ray-r002,L
BOS202107281,3,2,TOR,1,herne001,R,ray-r002,L
BOS202107281,0,2,TOR,0,biggc002,L,richg002,R
BOS202107281,0,2,TOR,1,dalbb001,R,ray-r002,L
BOS202107281,1,2,TOR,1,chavm001,R,ray-r002,L
BOS202107281,3,2,TOR,0,hernt002,R,riosy001,R
BOS202107281,3,2,TOR,1,herne001,R,ray-r002,L
BOS202107281,3,2,TOR,1,renfh001,R,ray-r002,L
BOS202107281,1,2,TOR,0,gurrl001,R,riosy001,R
BOS202107281,2,2,TOR,0,biggc002,L,riosy001,R
BOS202107281,0,2,TOR,1,plawk001,R,ray-r002,L
BOS202107281,1,2,TOR,1,dalbb001,R,ray-r002,L
BOS202107281,3,2,TOR,0,sprig001,R,workb001,R
BOS202107281,0,2,TOR,1,duraj001,L,romaj004,R
BOS202107282,1,2,TOR,0,sprig001,R,houct001,R
BOS202107282,3,2,TOR,0,guerv002,R,houct001,R
BOS202107282,1,2,TOR,0,semim001,R,houct001,R
BOS202107282,3,2,TOR,0,gurrl001,R,houct001,R
BOS202107282,2,2,TOR,0,mcgur002,L,houct001,R
BOS202107282,1,2,TOR,0,sprig001,R,houct001,R
BOS202107282,0,2,TOR,1,bogax001,R,matzs001,L
BOS202107282,2,2,TOR,0,hernt002,R,houct001,R
BOS202107282,3,2,TOR,1,dalbb001,R,matzs001,L
BOS202107282,1,2,TOR,1,renfh001,R,murpp001,R
BOS202107282,0,2,TOR,1,dalbb001,R,murpp001,R
BOS202107282,1,2,TOR,1,martj006,R,thort002,R
BOS202107282,1,2,TOR,0,gricr001,R,barnm001,R
BOS202107290,1,2,TOR,0,sprig001,R,rodre004,L
BOS202107290,1,2,TOR,0,espis001,R,rodre004,L
BOS202107290,2,2,TOR,1,bogax001,R,ryu-h001,L
BOS202107290,0,2,TOR,0,guerv002,R,rodre004,L
BOS202107290,1,2,TOR,0,semim001,R,rodre004,L
BOS202107290,0,2,TOR,0,bichb001,R,rodre004,L
BOS202107290,2,2,TOR,1,cordf003,L,ryu-h001,L
BOS202107290,2,2,TOR,0,hernt002,R,rodre004,L
BOS202107290,1,2,TOR,0,biggc002,L,rodre004,L
BOS202107290,1,2,TOR,1,martj006,R,ryu-h001,L
BOS202107290,1,2,TOR,0,mcgur002,L,rodre004,L
BOS202107290,2,2,TOR,1,cordf003,L,ryu-h001,L
BOS202107290,1,2,TOR,0,sprig001,R,workb001,R
BOS202107290,0,2,TOR,1,martj006,R,ryu-h001,L
BOS202107290,1,2,TOR,0,sprig001,R,hernd004,L
BOS202107290,0,2,TOR,1,verda001,L,dolir001,R
BOS202107290,2,2,TOR,1,dalbb001,R,sneak001,L
BOS202107290,1,2,TOR,1,chavm001,R,sneak001,L
BOS202107290,1,2,TOR,1,duraj001,L,sneak001,L
