,game id*,date,balls*,strikes*,visiting team*,batting team*,batter_last_name,batter_first_name,res batter*,res batter hand*,pitcher_last_name,pitcher_first_name,res pitcher*,res pitcher hand*
4,BOS202107010,2021-07-01,2,2,KCA,away,O'Hearn,Ryan Patrick,ohear001,L,Eovaldi,Nathan Edward,eovan001,R
14,BOS202107010,2021-07-01,3,2,KCA,home,Renfroe,Dustin Hunter,renfh001,R,Bubic,Kristofer Sime,bubik001,L
16,BOS202107010,2021-07-01,1,2,KCA,home,Santana,Daniel Ernesto,santd001,R,Bubic,Kristofer Sime,bubik001,L
21,BOS202107010,2021-07-01,2,2,KCA,home,Wong,Connor Sun-Han,wongc001,R,Bubic,Kristofer Sime,bubik001,L
24,BOS202107010,2021-07-01,0,2,KCA,away,O'Hearn,Ryan Patrick,ohear001,L,Eovaldi,Nathan Edward,eovan001,R
34,BOS202107010,2021-07-01,1,2,KCA,away,Rivero,Sebastian,rives002,R,Eovaldi,Nathan Edward,eovan001,R
47,BOS202107010,2021-07-01,0,2,KCA,home,Wong,Connor Sun-Han,wongc001,R,Santana,Ervin Ramon,sante001,R
48,BOS202107010,2021-07-01,2,2,KCA,away,Santana,Carlos,santc002,L,Eovaldi,Nathan Edward,eovan001,R
49,BOS202107010,2021-07-01,1,2,KCA,away,Perez,Salvador Johan (Diaz),peres002,R,Eovaldi,Nathan Edward,eovan001,R
56,BOS202107010,2021-07-01,1,2,KCA,home,Renfroe,Dustin Hunter,renfh001,R,Staumont,Joshua Tyler,stauj001,R
59,BOS202107010,2021-07-01,1,2,KCA,away,Rivero,Sebastian,rives002,R,Eovaldi,Nathan Edward,eovan001,R
61,BOS202107010,2021-07-01,2,2,KCA,home,Santana,Daniel Ernesto,santd001,L,Barlow,Scott,barls001,R
65,BOS202107010,2021-07-01,2,2,KCA,home,Verdugo,Alex Brady,verda001,L,Barlow,Scott,barls001,R
69,BOS202107010,2021-07-01,2,2,KCA,home,Martinez,Julio Daniel,martj006,R,Swarzak,Anthony Ray,swara001,R
75,BOS202107010,2021-07-01,3,2,KCA,home,Wong,Connor Sun-Han,wongc001,R,Swarzak,Anthony Ray,swara001,R
77,BOS202107010,2021-07-01,1,2,KCA,away,Perez,Salvador Johan (Diaz),peres002,R,Andriese,Matthew Lee,andrm001,R
81,BOS202107010,2021-07-01,3,2,KCA,away,Rivero,Sebastian,rives002,R,Andriese,Matthew Lee,andrm001,R
85,BOS202107090,2021-07-09,0,2,PHI,away,McCutchen,Andrew Stefan,mccua001,R,Richards,Garrett Thomas,richg002,R
86,BOS202107090,2021-07-09,2,2,PHI,away,Miller,Bradley Austin,millb002,L,Richards,Garrett Thomas,richg002,R
90,BOS202107090,2021-07-09,0,2,PHI,home,Bogaerts,Xander Jan,bogax001,R,Velasquez,Vincent John,velav001,R
100,BOS202107090,2021-07-09,3,2,PHI,away,Realmuto,Jacob Tyler,realj001,R,Richards,Garrett Thomas,richg002,R
106,BOS202107090,2021-07-09,3,2,PHI,home,Bogaerts,Xander Jan,bogax001,R,Velasquez,Vincent John,velav001,R
109,BOS202107090,2021-07-09,1,2,PHI,away,Miller,Bradley Austin,millb002,L,Richards,Garrett Thomas,richg002,R
119,BOS202107090,2021-07-09,0,2,PHI,home,Bogaerts,Xander Jan,bogax001,R,De Los Santos,Enyel,deloe001,R
123,BOS202107090,2021-07-09,1,2,PHI,home,Devers,Rafael Calcano,dever001,L,De Los Santos,Enyel,deloe001,R
134,BOS202107090,2021-07-09,1,2,PHI,home,Martinez,Julio Daniel,martj006,R,Kintzler,Brandon Lee,kintb001,R
137,BOS202107090,2021-07-09,1,2,PHI,away,Gregorius,Mariekson Julius,gregd001,L,Rios,Yacksel,riosy001,R
141,BOS202107090,2021-07-09,2,2,PHI,home,Arroyo,Christian Israel,arroc001,R,Kintzler,Brandon Lee,kintb001,R
149,BOS202107090,2021-07-09,1,2,PHI,away,McCutchen,Andrew Stefan,mccua001,R,Andriese,Matthew Lee,andrm001,R
150,BOS202107090,2021-07-09,2,2,PHI,home,Hernandez,Enrique J.,herne001,R,Alvarado,Jose Antonio (Lizarzabal),alvaj004,L
155,BOS202107090,2021-07-09,1,2,PHI,home,Renfroe,Dustin Hunter,renfh001,R,Alvarado,Jose Antonio (Lizarzabal),alvaj004,L
156,BOS202107090,2021-07-09,2,2,PHI,away,Williams,Lucas Daniel,willl001,R,Hernandez,Darwinzon David,hernd004,L
157,BOS202107090,2021-07-09,1,2,PHI,away,Hoskins,Rhys Dean,hoskr001,R,Hernandez,Darwinzon David,hernd004,L
162,BOS202107090,2021-07-09,2,2,PHI,away,Bohm,Alec Daniel,bohma001,R,Workman,Brandon Carlin,workb001,R
163,BOS202107090,2021-07-09,0,2,PHI,away,Jankowski,Travis Paul,jankt001,L,Workman,Brandon Carlin,workb001,R
176,BOS202107100,2021-07-10,2,2,PHI,away,Knapp,Andrew Michael,knapa001,R,Perez,Martin (Jimenez),perem004,L
177,BOS202107100,2021-07-10,1,2,PHI,away,Segura,Jean Carlos Enrique,seguj002,R,Perez,Martin (Jimenez),perem004,L
183,BOS202107100,2021-07-10,0,2,PHI,away,Harper,Bryce Aron Max,harpb003,L,Perez,Martin (Jimenez),perem004,L
194,BOS202107100,2021-07-10,2,2,PHI,away,Bohm,Alec Daniel,bohma001,R,Perez,Martin (Jimenez),perem004,L
202,BOS202107100,2021-07-10,2,2,PHI,home,Dalbec,Robert Vernon,dalbb001,R,Moore,Matthew Cody,moorm003,L
213,BOS202107100,2021-07-10,1,2,PHI,home,Bogaerts,Xander Jan,bogax001,R,Falter,Bailey,faltb001,L
215,BOS202107100,2021-07-10,3,2,PHI,home,Renfroe,Dustin Hunter,renfh001,R,Falter,Bailey,faltb001,L
218,BOS202107100,2021-07-10,0,2,PHI,away,Realmuto,Jacob Tyler,realj001,R,Whitlock,Garrett Getts,whitg002,R
222,BOS202107100,2021-07-10,1,2,PHI,home,Dalbec,Robert Vernon,dalbb001,R,Falter,Bailey,faltb001,L
231,BOS202107100,2021-07-10,0,2,PHI,away,Realmuto,Jacob Tyler,realj001,R,Brice,Austin Robert,brica001,R
239,BOS202107100,2021-07-10,1,2,PHI,home,Chavis,Michael Scott,chavm001,R,Hammer,John Dale,hammj003,R
240,BOS202107100,2021-07-10,0,2,PHI,home,Devers,Rafael Calcano,dever001,L,Hammer,John Dale,hammj003,R
242,BOS202107100,2021-07-10,2,2,PHI,away,Williams,Lucas Daniel,willl001,R,Brice,Austin Robert,brica001,R
243,BOS202107100,2021-07-10,3,2,PHI,away,Torreyes,Ronald Alcides,torrr001,R,Brice,Austin Robert,brica001,R
247,BOS202107100,2021-07-10,2,2,PHI,home,Dalbec,Robert Vernon,dalbb001,R,Brogdon,Connor Michael,brogc001,R
254,BOS202107110,2021-07-11,1,2,PHI,away,McCutchen,Andrew Stefan,mccua001,R,Pivetta,Nicholas Johncarlo,piven001,R
256,BOS202107110,2021-07-11,2,2,PHI,away,Hoskins,Rhys Dean,hoskr001,R,Pivetta,Nicholas Johncarlo,piven001,R
272,BOS202107110,2021-07-11,1,2,PHI,home,Martinez,Julio Daniel,martj006,R,Sanchez,Cristopher Alexis,sancc002,L
273,BOS202107110,2021-07-11,2,2,PHI,away,McCutchen,Andrew Stefan,mccua001,R,Pivetta,Nicholas Johncarlo,piven001,R
274,BOS202107110,2021-07-11,3,2,PHI,away,Gregorius,Mariekson Julius,gregd001,L,Pivetta,Nicholas Johncarlo,piven001,R
279,BOS202107110,2021-07-11,2,2,PHI,home,Bogaerts,Xander Jan,bogax001,R,Sanchez,Cristopher Alexis,sancc002,L
286,BOS202107110,2021-07-11,2,2,PHI,away,Harper,Bryce Aron Max,harpb003,L,Rios,Yacksel,riosy001,R
295,BOS202107110,2021-07-11,0,2,PHI,away,Miller,Bradley Austin,millb002,L,Hernandez,Darwinzon David,hernd004,L
296,BOS202107110,2021-07-11,0,2,PHI,home,Devers,Rafael Calcano,dever001,L,Alvarado,Jose Antonio (Lizarzabal),alvaj004,L
305,BOS202107110,2021-07-11,1,2,PHI,away,Realmuto,Jacob Tyler,realj001,R,Sawamura,Hirokazu,sawah001,R
314,BOS202107110,2021-07-11,2,2,PHI,away,Hoskins,Rhys Dean,hoskr001,R,Ottavino,Adam Robert,ottaa001,R
316,BOS202107110,2021-07-11,1,2,PHI,home,Vazquez,Christian Rafael,vazqc001,R,Suarez,Ranger Jose,suarr001,L
317,BOS202107110,2021-07-11,3,2,PHI,home,Dalbec,Robert Vernon,dalbb001,R,Suarez,Ranger Jose,suarr001,L
326,BOS202107110,2021-07-11,3,2,PHI,home,Martinez,Julio Daniel,martj006,R,Suarez,Ranger Jose,suarr001,L
327,BOS202107110,2021-07-11,2,2,PHI,home,Bogaerts,Xander Jan,bogax001,R,Suarez,Ranger Jose,suarr001,L
330,BOS202107220,2021-07-22,1,2,NYA,away,Gardner,Brett M.,gardb001,L,Houck,Tanner,houct001,R
334,BOS202107220,2021-07-22,2,2,NYA,home,Bogaerts,Xander Jan,bogax001,R,Montgomery,Jordan Blackmon,montj004,L
